Thread 1 seed: 264221
Init time: 0.006187 s

Loading weights-stage1.bin finished: 0.350813 s
Loading weights-stage2.bin finished: 0.38581 s
9344->9408: 0.9938 106898 0 528533
9408->9472: 0.9934 107590 42.7598 528533
9472->9536: 0.9934 107898 0 528490
9536->9600: 0.9934 108335 0 528490
9600->9664: 0.9934 108643 0 528490
9664->9728: 0.993 109847 43.458 528490
9728->9792: 0.993 110156 0 528447
9792->9856: 0.993 110592 0 528447
9856->9920: 0.993 110901 0 528447
9920->9984: 0.993 111593 0 528447
9984->10048: 0.993 111901 0 528447
10048->10112: 0.993 112338 0 528447
10112->10176: 0.9928 112646 22.4646 528447
10176->10240: 0.9926 116922 22.5262 528425
10240->10304: 0.9926 117231 0 528402
10304->10368: 0.9926 117667 0 528402
10368->10432: 0.9926 117975 0 528402
10432->10496: 0.9926 118668 0 528402
10496->10560: 0.9926 118976 0 528402
10560->10624: 0.9926 119413 0 528402
10624->10688: 0.9926 119721 0 528402
10688->10752: 0.9924 120925 23.9482 528402
10752->10816: 0.9924 121234 0 528378
10816->10880: 0.9924 121670 0 528378
10880->10944: 0.9924 121978 0 528378
10944->11008: 0.9924 122671 0 528378
11008->11072: 0.9924 122979 0 528378
11072->11136: 0.9922 123416 24.5926 528378
11136->11200: 0.9922 123724 0 528354
11200->11264: 0.9922 125952 0 528354
11264->11328: 0.9922 126261 0 528354
11328->11392: 0.9922 126697 0 528354
11392->11456: 0.9922 127005 0 528354
11456->11520: 0.9922 127698 0 528354
11520->11584: 0.9922 128006 0 528354
11584->11648: 0.9922 128442 0 528354
11648->11712: 0.9922 128751 0 528354
11712->11776: 0.9922 129955 0 528354
11776->11840: 0.9922 130264 0 528354
11840->11904: 0.9922 130700 0 528354
11904->11968: 0.9922 131008 0 528354
11968->12032: 0.9922 131701 0 528354
12032->12096: 0.9922 132009 0 528354
12096->12160: 0.992 132445 26.4062 528354
12160->12224: 0.992 132754 0 528327
12224->12288: 0.9904 141126 212.402 528327
12288->12352: 0.9904 141434 0 528115
12352->12416: 0.9904 141871 0 528115
12416->12480: 0.9904 142179 0 528115
12480->12544: 0.9904 142872 0 528115
12544->12608: 0.9904 143180 0 528115
12608->12672: 0.99 143616 57.2729 528115
12672->12736: 0.99 143925 0 528058
12736->12800: 0.99 145129 0 528058
12800->12864: 0.99 145437 0 528058
12864->12928: 0.99 145874 0 528058
12928->12992: 0.99 146182 0 528058
12992->13056: 0.99 146874 0 528058
13056->13120: 0.99 147183 0 528058
13120->13184: 0.9898 147619 29.4414 528058
13184->13248: 0.9898 147927 0 528028
13248->13312: 0.9898 150156 0 528028
13312->13376: 0.9898 150464 0 528028
13376->13440: 0.9898 150901 0 528028
13440->13504: 0.9898 151209 0 528028
13504->13568: 0.9898 151901 0 528028
13568->13632: 0.9898 152210 0 528028
13632->13696: 0.9898 152646 0 528028
13696->13760: 0.9898 152954 0 528028
13760->13824: 0.9896 154159 30.5868 528028
13824->13888: 0.9896 154467 0 527998
13888->13952: 0.9896 154903 0 527998
13952->14016: 0.9896 155212 0 527998
14016->14080: 0.9896 155904 0 527998
14080->14144: 0.9896 156212 0 527998
14144->14208: 0.9894 156649 31.2384 527998
14208->14272: 0.9894 156957 0 527966
14272->14336: 0.988 161234 219.749 527966
14336->14400: 0.988 161542 0 527747
14400->14464: 0.988 161978 0 527747
14464->14528: 0.988 162287 0 527747
14528->14592: 0.9878 162979 32.453 527747
14592->14656: 0.9878 163287 0 527714
14656->14720: 0.9878 163724 0 527714
14720->14784: 0.9874 164032 65.4906 527714
14784->14848: 0.9874 165236 0 527649
14848->14912: 0.9874 165545 0 527649
14912->14976: 0.9874 165981 0 527649
14976->15040: 0.9874 166290 0 527649
15040->15104: 0.9874 166982 0 527649
15104->15168: 0.9874 167290 0 527649
15168->15232: 0.987 167727 66.9172 527649
15232->15296: 0.986 168035 167.724 527582
15296->15360: 0.9842 170263 302.463 527414
15360->15424: 0.9842 170572 0 527112
15424->15488: 0.984 171008 34.1098 527112
15488->15552: 0.9838 171316 34.2073 527077
15552->15616: 0.9836 172009 34.2588 527043
15616->15680: 0.9834 172317 34.4075 527009
15680->15744: 0.9834 172753 0 526975
15744->15808: 0.982 173062 241.854 526975
15808->15872: 0.9806 174266 242.286 526733
15872->15936: 0.9802 174575 69.7077 526490
15936->16000: 0.9798 175011 69.831 526421
16000->16064: 0.9796 175319 34.9976 526351
16064->16128: 0.9778 176012 315.575 526316
16128->16192: 0.9776 176320 35.2082 526000
16192->16256: 0.973 176756 811.07 525965
16256->16320: 0.9722 177065 141.407 525154
16320->16384: 0.9618 210013 1841.47 525013
16384->16448: 0.9618 210321 0 523171
16448->16512: 0.9618 210758 0 523171
16512->16576: 0.9618 211066 0 523171
16576->16640: 0.9618 211759 0 523171
16640->16704: 0.9618 212067 0 523171
16704->16768: 0.9618 212503 0 523171
16768->16832: 0.9618 212812 0 523171
16832->16896: 0.9612 214016 127.683 523171
16896->16960: 0.9612 214324 0 523043
16960->17024: 0.9612 214761 0 523043
17024->17088: 0.9612 215069 0 523043
17088->17152: 0.961 215761 43.0081 523043
17152->17216: 0.961 216070 0 523000
